Zone,1,2,3,4,5,6,7
,,,,UPS EXPRESS ENVELOP,,,
Weight(Kg),,,,,,,
0.5,14.16,16.47,17.22,18.8,19.55,21.86,27.38
,,,Documents upto 5Kg other than UPS Express Envelops,,,,
0.5,14.16,16.47,17.22,18.8,19.55,21.86,27.38
1,18.8,21.86,22.72,24.22,25.02,28.13,35.19
1.5,23.5,27.38,28.13,30.47,30.47,35.19,42.88
2,28.13,32.85,33.6,36.66,35.94,42.13,50.71
2.5,32.85,38.27,39.08,42.88,41.38,49.19,58.54
3,37.52,43.8,44.55,48.38,46.13,56.21,66.32
3.5,42.13,48.38,49.19,53.88,50.71,61.6,72.57
4,45.27,53.07,53.88,59.27,55.41,67.15,78.74
4.5,48.38,57.71,58.54,63.21,59.99,72.57,84.98
5,51.52,62.46,63.21,67.15,64.79,78.01,91.23
,,,,Documents over 5kg and packages,,,
Weight (Kg),,,,,,,
0.5,31.58,35.61,36.47,43.67,39.67,51.82,59.82
1,36.47,41.28,42.06,50.15,45.4,59.04,67.99
1.5,41.28,46.92,47.81,56.65,50.98,66.3,76.03
2,46.17,52.56,53.4,63.1,56.65,73.64,84.03
2.5,50.98,58.26,59.04,69.61,62.18,80.86,92.2
3,55.85,63.1,64.74,76.03,67.99,88.09,99.46
3.5,59.82,67.99,69.61,80.86,72.74,93.82,105.85
4,63.85,72.74,74.44,85.67,77.67,99.46,112.33
4.5,67.99,77.67,79.25,90.53,82.5,105.07,118.83
5,72,82.5,84.03,95.43,87.31,110.8,125.28
5.5,79.83,91.68,93.43,105.25,96.81,122.2,138.28
6,84.09,96.81,98.51,110.33,101.83,128.16,145.12
6.5,86.63,101.05,102.74,114.56,106.12,133.21,151.04
7,89.17,105.25,107,118.88,110.33,138.28,156.96
7.5,91.68,109.51,111.14,123.05,114.56,143.51,162.95
8,94.21,112.86,115.4,127.37,118.88,147.62,168.9
8.5,96.81,116.34,119.7,131.54,123.05,151.86,174.8
9,99.29,120.54,123.9,135.75,127.37,156.96,180.72
9.5,101.83,124.77,128.16,140.04,131.54,162.16,186.62
10,104.43,128.97,132.39,144.33,135.75,167.18,192.63
10.5,132.48,163.91,168.07,182.77,172.37,212.26,244.75
11,135.58,168.07,172.37,187,176.52,217.5,251.07
11.5,138.73,171.21,175.48,191.23,180.71,222.67,257.43
12,141.83,174.39,178.69,195.42,185.92,227.98,262.71
12.5,145.01,177.68,181.8,199.54,191.23,233.18,267.84
13,148.19,181.8,185.92,203.84,195.42,238.5,274.23
13.5,151.3,185.92,190.15,208.03,199.54,243.77,280.45
14,154.48,189.17,194.34,212.26,204.85,249.01,286.81
14.5,157.7,192.28,197.52,216.42,210.13,254.25,293.02
15,160.77,195.42,200.77,220.65,215.41,259.45,299.31
15.5,163.91,199.54,204.85,225.88,219.52,264.73,305.67
16,167.09,203.84,209.12,231.05,223.75,269.97,311.92
16.5,170.24,206.99,212.26,235.35,227.98,275.24,318.24
17,173.38,210.13,216.42,239.51,233.18,280.45,324.57
17.5,176.52,213.31,220.65,243.77,238.5,285.84,330.93
18,179.67,217.5,223.75,247.85,242.61,290.96,337.22
18.5,182.77,221.69,226.89,252.12,246.88,296.2,343.54
19,185.92,224.76,231.05,256.27,251.07,301.48,349.72
19.5,189.17,227.98,234.34,260.58,256.27,306.68,356.08
20,192.28,231.05,237.49,264.73,261.55,311.92,362.44
21,235.5,285.57,291.81,330.68,321.89,384.58,447.13
22,241.75,295.52,300.6,343.17,331.88,396.98,462.12
23,249.33,303.15,309.35,355.71,341.96,409.61,477.12
24,256.83,310.69,318.14,365.66,351.91,422.06,492.15
